talk_desc,event,talk_name,views,duration,tags,recorded_at,published on
"How do companies like SpaceX make sudden breakthroughs on decades-old challenges? Emerging tech expert Antoine Gourévitch explains how deep tech -- a new approach to innovation that merges science, engineering and design thinking -- is unlocking solutions to problems in space exploration, biology, energy and more. As Gourévitch says: ""[deep tech] is changing what was once considered impossible into something actively possible, today.""",TED@BCG,What is deep tech? A look at how it could shape the future,823109,659,"['technology', 'future', 'innovation', 'AI', 'engineering', 'science', 'synthetic biology', 'biology']",2020-10-21T00:00:00.000+00:00,1615392766
"Picture your favorite place in nature. How would you feel if it disappeared tomorrow? In this love letter to the planet, social worker and environmental activist Knut Ivar Bjørlykhaug invites us to confront the deep, difficult emotions -- love, sorrow and even rage -- born from climate-driven ecological loss in order to act in service of our collective home.",TEDxUSN,"Love, sorrow and the emotions that power climate action",734225,770,"['climate change', 'TEDx', 'activism', 'emotions', 'environment', 'nature']",2020-11-11T00:00:00.000+00:00,1615320727
"All around the world, millions of people are flipping a switch, plugging in, and pressing an 'on' button every second. So how much electricity does humanity use? And how much will we need in the future? Discover how much energy it takes to power the world, and how clean energy sources could help revolutionize our electricity supply. [Written by Elizabeth Cox and George Zaidan, directed by Lisa LaBracio, narrated by Jack Cutmore-Scott, music by André Aires]. ",TED-Ed,How much electricity does it take to power the world?,259242,281,"['TED-Ed', 'sustainability', 'energy', 'climate change', 'electricity', 'animation', 'education', 'wind energy', 'solar energy', 'solar', 'technology', 'invention', 'innovation', 'design']",2021-03-09T00:00:00.000+00:00,1615306150
"For over 30 years, thousands of people were imprisoned, tortured, and murdered under Rafael Trujillo's dictatorship in the Dominican Republic. Three sisters would go on to lead an underground revolution. But while their courage inspired many, it threatened the man in power, and their lives would come to a tragic early end. Who were these brave women? Lisa Krause tells the story of Las Mariposas. [Directed by Tomás Pichardo-Espaillat, narrated by Safia Elhillo, music by Cem Misirlioglu and Sergio Sayeg].",TED-Ed,"Who were Las Mariposas, and why were they murdered?",299558,357,"['TED-Ed', 'education', 'women', 'animation', 'government', 'history', 'Latin America', 'culture', 'family']",2021-03-08T00:00:00.000+00:00,1615221741
"Calls for authenticity at work ask for passionate people with diverse, fresh perspectives who challenge old ways of thinking. But too often workplace culture fails to support the authenticity of professionals of color and other underrepresented groups, leading instead to backlash and fewer opportunities. Writer Jodi-Ann Burey outlines steps toward exposing privilege and achieving true equity on the job -- and implores those in leadership positions to accept responsibility for change.",TEDxSeattle,"The myth of bringing your full, authentic self to work",849569,932,"['business', 'work', 'race', 'leadership', 'diversity', 'TEDx', 'inclusion']",2020-11-21T00:00:00.000+00:00,1615219577
"With the Climate Reality Project, Al Gore is helping mold future leaders to build the movement for climate survival and social justice from the ground up. He introduces us to four of the Project's graduates, each of whom confronts climate change on their own terms: Ximena Loría, founder of Misión 2 Grados, an NGO influencing public policy in Central America; Nana Firman, ""daughter of the rainforest"" and advocate for climate justice among Indigenous peoples; Gloria Kasang Bulus, a Nigerian activist for women and education; and Tim Guinee, a first responder and climate change fighter in upstate New York. Together, they're gathering local actors into a global, grassroots movement that aims to turn the climate fight around.",Countdown,Climate change is our reality. Here's how we're taking action,776688,406,"['Countdown', 'leadership', 'climate change', 'environment', 'social change', 'activism']",2020-10-10T00:00:00.000+00:00,1602353605
"You take vacation days, sick days and mental health days; now it's time to add a financial health day to that list! What to do on it? Behavioral psychologist Wendy De La Rosa shares 10 simple steps you can take to spend less, save more -- and stress less.",Your Money and Your Mind,10 steps to boost your financial health -- that you can do in a day,122818,205,"['finance', 'behavioral economics', 'self', 'money']",2021-03-03T00:00:00.000+00:00,1614784515
"After a concert, you find it difficult to hear your friend rave about the show. It sounds like they're speaking from across the room, and it's tough to make out their voice over the ringing in your ears. But, by the next morning, the effect has mostly worn off. So what caused these symptoms? And can you go to concerts without damaging your ears? Heather Malyuk explores the properties of sound. [Directed by Anne Beal, narrated by Bethany Cutmore-Scott, music by Michael MacDonald].",TED-Ed,Can loud music damage your hearing?,459654,291,"['TED-Ed', 'animation', 'education', 'biology', 'hearing', 'science', 'music', 'human body']",2021-03-02T00:00:00.000+00:00,1614700991
"When personal relationships and ideological differences collide, the result can lead to strained relations -- or even years of silence and distance. Actor Betty Hart offers an alternative to cold shoulders and haughty hellos: compassion, and a chance for growth and change instead of losing important time with loved ones.",TEDxCherryCreekWomen,How compassion could save your strained relationships,910628,663,"['compassion', 'relationships', 'personal growth', 'friendship', 'TEDx', 'family', 'politics']",2020-11-14T00:00:00.000+00:00,1614700587
"Today roads, sidewalks, bridges, and skyscrapers are made of a material called concrete. There's three tons of it for every person on Earth. It's also played a surprisingly large role in rising global temperatures over the last century. So, what exactly makes concrete problematic, and what can we do to fix it? Explore how scientists are working to create a cleaner, more sustainable concrete. [Written by Elizabeth Cox and George Zaidan, directed by Lisa LaBracio, narrated by Jack Cutmore-Scott, music by André Aires]. ",TED-Ed,The material that could change the world... for a third time,450170,306,"['education', 'materials', 'TED-Ed', 'transportation', 'electricity', 'energy', 'animation', 'climate change', 'science', 'engineering', 'sustainability', 'innovation', 'invention']",2021-03-01T00:00:00.000+00:00,1614616094
"What does it take to be a pro gamer? Esports expert William Collis charts the rise of the multibillion-dollar competitive gaming industry and breaks down three skills needed to master video games like Fortnite, League of Legends and Rocket League. And watch out, Collis says: these skills can set you up for crushing it at work, too.",TED@BCG,How video game skills can get you ahead in life,904525,621,"['gaming', 'technology', 'Internet', 'entertainment', 'leadership']",2020-10-21T00:00:00.000+00:00,1614613626
"In the 1860's, 11 southern states withdrew from the United States and formed the Confederacy. They seceded in response to the growing movement for the nationwide abolition of slavery. Yet barely a year after the Civil War ended, southern sources began claiming the conflict was about state's rights. How did this revisionist history come about? Karen L. Cox examines the cultural myth of the Lost Cause. [Directed by Anton Bogaty, narrated by Christina Greer, music by Stephen LaRosa].",TED-Ed,Debunking the myth of the Lost Cause,445021,268,"['TED-Ed', 'education', 'history', 'animation', 'war', 'government', 'race', 'Slavery', 'United States']",2021-02-25T00:00:00.000+00:00,1614285788
"To futureproof your job against robots and AI, you should learn how to code, brush up on your math skills and crack open an engineering textbook, right? Wrong. In this surprisingly comforting talk, tech journalist Kevin Roose makes the case that rather than trying to compete with the machines, we should instead focus on what makes us uniquely human.",TED@BCG,The value of your humanity in an automated future,906388,649,"['AI', 'work', 'future', 'humanity']",2020-10-21T00:00:00.000+00:00,1614267672
What convinced British citizens to send in their taxes on time? And what resulted in San Diego residents reducing their energy consumption? Learning that their neighbors were doing it. Behavioral psychologist Wendy De La Rosa shares the surprising power of our peers and how we can use it to improve our financial habits.,Your Money and Your Mind,Why talking to your friends can help you save money,118452,210,"['finance', 'money', 'sociology', 'behavioral economics']",2021-02-24T00:00:00.000+00:00,1614180239
"Once a year, thousands of logicians descend into the desert for Learning Man. At the center of that gathering is the world's most exclusive club, where under the full moon the annual logician's rave takes place. The entry is guarded by the Demon of Reason, and the only way in is to solve one of his dastardly challenges. Can you get into the rave? Edwin Meyer shows how. [Directed by Artrake Studio, narrated by Addison Anderson, music by Stephen LaRosa].",TED-Ed,Can you solve the logician's rave riddle?,375868,285,"['TED-Ed', 'education', 'math', 'animation', 'dance']",2021-02-23T00:00:00.000+00:00,1614098191
"In the grand scheme of history, modern reality is a bizarre exception when compared to the worlds of ancient, precolonial and Indigenous civilizations, where myths ruled and gods roamed, says historian Greg Anderson. So why do Westerners today think they're right about reality and everybody else is wrong? Anderson tears into the fabric of objective reality to reveal the many universes that lie beyond -- and encourages a healthy reimagining of what other possible ways of being human could look like.",TEDxOhioStateUniversity,Why there's no such thing as objective reality,987923,978,"['history', 'society', 'philosophy', 'ancient world', 'TEDx', 'universe']",2020-02-22T00:00:00.000+00:00,1614096350
"As of 2020, the world's biggest lithium-ion battery is hooked up to the Southern California power grid and can provide enough power for about 250,000 homes. But it's actually not the biggest battery in the world: a pair of lakes are. How can lakes be a battery? Explore how inventors are rethinking what a battery can be, and how these surprising solutions could help us achieve a sustainable future. [Written by Elizabeth Cox and George Zaidan, directed by Lisa LaBracio, narrated by Jack Cutmore-Scott, music by André Aires].",TED-Ed,The world's biggest battery looks nothing like a battery,368413,295,"['education', 'TED-Ed', 'animation', 'science', 'climate change', 'technology', 'invention', 'innovation', 'green', 'energy', 'electricity']",2021-02-22T00:00:00.000+00:00,1614010704
"Aliens have invaded ancient history: they've cropped up in humanity's past through popular television and movies, displacing facts with absurd yet commonplace beliefs like ""aliens built the pyramids."" Archaeologist Sarah Kurnick illustrates why these misconceptions perpetuate racist and xenophobic notions of history and culture -- and demonstrates how you can help debunk these dangerous, outlandish myths.",TEDxMileHigh,"""Aliens built the pyramids"" and other absurdities of pseudo-archaeology",931572,723,"['history', 'media', 'extraterrestrial life', 'ancient world', 'archaeology', 'TEDx']",2020-08-29T00:00:00.000+00:00,1614009757
"On his first day as president, Joe Biden signed a letter of acceptance that set in motion the 30-day process for the United States to re-join the Paris Agreement on climate. On the day the US returns to the accord, John Kerry, the US Special Envoy for Climate, sits down with Nobel Laureate Al Gore to discuss the make-or-break decade ahead of us. Listen as Kerry lays out how the US fits into the global plan to get to net-zero emissions, explains why the COP26 UN climate conference could be humanity's ""last best hope"" to build international momentum and explores the role of business and youth activists in promoting environmental justice. (This interview features an introduction from Christiana Figueres, the principal architect of the Paris Agreement.)",Countdown,The US is back in the Paris Agreement. What's next?,1102646,2285,"['climate change', 'environment', 'energy', 'sustainability', 'business', 'leadership', 'Countdown', 'collaboration']",2021-02-19T00:00:00.000+00:00,1613745541
"For as long as we've had language, some people have tried to control it. And some of the most frequent targets of this communication regulation are the ums, ers, and likes that pepper our conversations. These linguistic fillers occur roughly 2 to 3 times per minute in natural speech. So are ums and uhs just a habit we can't break? Or is there more to them? Lorenzo García-Amaya investigates. [Directed by Yael Reisfeld, narrated by Addison Anderson, music by Yael Reisfeld].",TED-Ed,"Why do we, like, hesitate when we, um, speak?",781064,314,"['education', 'speech', 'TED-Ed', 'animation', 'language', 'communication']",2021-02-18T00:00:00.000+00:00,1613672235
"Documentary photographer Olivia Arthur has been exploring a new frontier: the evolution of the blurring line between humanity and technology. In this meditative talk, she shows her work documenting the remarkable ways humans have merged with machines -- from bionics and motorized limbs to synthetic muscles and strikingly realistic robots -- and offers wisdom on the complexity, adaptability and resilience of the human body.",TED@BCG,Meditations on the intersection of humanity and technology,207368,561,"['robots', 'synthetic biology', 'cyborg', 'humanity', 'future', 'biology', 'human body', 'technology']",2020-10-21T00:00:00.000+00:00,1613663405
"When catastrophe strikes, art prevails -- and has done so for centuries. In this fascinating talk, writer and director Cara Greene Epstein places the closing of theaters during the coronavirus pandemic in a historical context, exploring how we can use this intermission to imagine a more just, representative and beautiful world, onstage and off.",TEDxWrigleyville,"How theater weathers wars, outlasts empires and survives pandemics",846865,889,"['coronavirus', 'theater', 'art', 'history', 'TEDx', 'creativity', 'performance art', 'society', 'pandemic']",2020-06-28T00:00:00.000+00:00,1613578004
Online retailers resort to all kinds of strategies to separate you from your hard-earned money. Behavioral scientist Wendy De La Rosa names three tactics to look out for -- and shares how you can keep yourself from falling for them.,Your Money and Your Mind,3 sneaky tactics that websites use to make you spend,173246,222,"['finance', 'money', 'shopping', 'self']",2021-02-17T00:00:00.000+00:00,1613575053
What if everything in your life was randomized: from the food you ate to the things you did and the places you traveled? Computer scientist Max Hawkins created algorithms to make decisions like these for him -- and got hooked on the experience for two years. He shares how relinquishing choice sent him across the world and opened him up to the beautiful complexity and richness of life. It makes you wonder: What lies just outside your comfort zone?,TEDxVienna,I let algorithms randomize my life for two years,1098277,705,"['decision-making', 'computers', 'algorithm', 'travel', 'personal growth', 'TEDx', 'choice']",2017-10-21T00:00:00.000+00:00,1613491033
"Origami, which literally translates to ""folding paper,"" is a Japanese practice dating back to at least the 17th century. In origami, a single, traditionally square sheet of paper can be transformed into almost any shape, purely by folding. The same simple concepts yield everything from a paper crane with about 20 steps, to a dragon with over 1,000 steps. Evan Zodl explores the ancient art form. [Directed by Charlotte Arene, narrated by Jack Cutmore-Scott].",TED-Ed,The unexpected math of origami,315311,308,"['education', 'TED-Ed', 'art', 'animation', 'culture', 'world cultures', 'history', 'math', 'arts']",2021-02-11T00:00:00.000+00:00,1613154784
"Designers spend their days dreaming up better products and better worlds, and you can use their thinking to re-envision your own life, says design professor Bill Burnett. He shares five tips to try, whether you're at the start of your career or contemplating your next act. ",TEDxStanford,5 steps to designing the life you want,3260236,1520,"['design', 'work', 'personal growth']",2017-04-23T00:00:00.000+00:00,1613071675
"Centuries of inequality can't be solved with access to technology alone -- we need to connect people with training and support too, says tech inclusionist 'Gbenga Sesan. Sharing the work behind the Paradigm Initiative, a social enterprise in Nigeria that's empowering young people with digital resources and skills, Sesan details a vision for creating life-changing opportunities for generations of people across Africa.",TED Salon UNDP,Technology can't fix inequality -- but training and opportunities could,977417,642,"['Africa', 'education', 'technology', 'inequality', 'development']",2020-12-09T00:00:00.000+00:00,1613058490
"Climate change is the epic challenge of our lives, and community leaders like Rahwa Ghirmatzion and Zelalem Adefris are already working on sustainable, resilient solutions. Through their organizations in Buffalo and Miami, they're focused on durable, affordable housing for under-resourced communities, the most vulnerable to the instability of climate change. Watch for a lesson on how we can work alongside our neighbors to address climate catastrophe and social inequality. (Narrated by Don Cheadle)",Countdown,Community-powered solutions to the climate crisis,946751,272,"['climate change', 'Countdown', 'activism', 'community', 'social change', 'environment', 'leadership']",2020-10-10T00:00:00.000+00:00,1602357523
Saving money is like working out or eating right -- it's easier said than done. Behavioral scientist Wendy De La Rosa streamlines the process with two quick tips that can help you achieve your goals.,Your Money and Your Mind,A simple 2-step plan for saving more money,196868,161,"['goal-setting', 'finance', 'self', 'money']",2021-02-10T00:00:00.000+00:00,1612970558
"On top of our heads, there is a type of yeast that lives and dines on all of our scalps. Feasting constantly, it's in paradise. And in about half of the human population, its activity causes dandruff. So, why do some people have more dandruff than others? And how can it be treated? Thomas L. Dawson explores this head-scratching problem. [Directed by Artrake Studio, narrated by Addison Anderson]. ",TED-Ed,"What causes dandruff, and how do you get rid of it?",1585357,291,"['TED-Ed', 'education', 'human body', 'animation', 'science', 'biology', 'microbes']",2021-02-09T00:00:00.000+00:00,1612887548
"Concrete is the second most-used substance on Earth (behind water), and it's responsible for eight percent of the world's carbon footprint. Cement researcher Karen Scrivener shares the research behind a pioneering new kind of cement known as LC3, which could slash carbon emissions from this crucial building material by 40 percent, if adopted at scale.",Countdown,A concrete idea to reduce carbon emissions,1068109,266,"['Countdown', 'materials', 'climate change', 'innovation', 'sustainability', 'science']",2020-10-10T00:00:00.000+00:00,1602356947
"How do you get the environment to the top of everyone's priority list? You can't, says climate advocate Angela Francis -- but you can get them to care about improving their lives. In this pragmatic talk, she shares her playbook for helping even the most skeptical among us see the benefits of a greener economy on their health, wealth and well-being.",TEDxLondonWomen,How to get everyone to care about a green economy,1211422,671,"['environment', 'climate change', 'TEDx', 'economics', 'society', 'policy']",2019-12-07T00:00:00.000+00:00,1612542557
"It may not appear very lively six feet underground, but a single teaspoon of soil contains more organisms than there are human beings on the planet. From bacteria and algae to fungi and protozoa, soils are home to one quarter of Earth's biodiversity. And perhaps soil's most important inhabitants are its microbes. Carolyn Marshall digs into how soil's invisible helpers support all life on Earth. [Directed by Ivana Bošnjak and Thomas Johnson, narrated by Alexandra Panzer, music by Stephen LaRosa].",TED-Ed,"Why didn't this 2,000 year old body decompose?",573495,285,"['biology', 'animation', 'education', 'TED-Ed', 'microbes', 'bacteria', 'death', 'biodiversity', 'microbiology', 'science']",2021-02-04T00:00:00.000+00:00,1612454813
