talk_name,event_cat,views_x,p_year,mws,fkl,mtld,cnt_i,cnt_we,cnt_you,nip_comps_cnt,nip,nvr,time_period,most_frequent_topic
3 ways companies can support grieving employees,TED Institute,1080004,2021,16.5,8.6,82.71648332955318,41,10,11,18,0.0251396648044692,1.304,4,human feelings
6 big ethical questions about the future of AI,TED Salon,1565973,2020,14.0,8.8,65.437902367919,12,62,29,21,0.0236486486486486,1.7787610619469028,4,human feelings
"Financial inclusion, the digital divide and other thoughts on the future of money",TED Institute,1119920,2020,22.5,12.2,62.68375368144866,44,57,138,15,0.0125,1.3411978221415608,4,technology
Who counts as a speaker of a language?,TEDx,1249536,2020,18.0,10.7,69.30307139399807,18,50,15,17,0.0259541984732824,1.5296442687747036,4,economy
An innovative way to support children with special needs,TED Institute,1121274,2020,16.0,9.9,115.61603102142286,15,46,12,10,0.0131233595800524,1.4389140271493213,4,human feelings
How to be an upstander instead of a bystander,TED Women,1178792,2020,15.0,7.2,76.0017973856209,21,11,25,6,0.0176991150442477,0.9603174603174603,4,health
A strategy for supporting and listening to others,TED Main,1377432,2020,12.0,6.9,90.49579831932772,31,19,21,2,0.0045871559633027,0.96875,4,human feelings
How creative writing can help you through life's hardest moments,TEDx,1288217,2020,16.0,7.4,42.12903225806452,93,38,84,25,0.0279955207166853,0.875,4,human feelings
The legacy of matriarchs in the Yukon First Nations,TED Women,1105044,2020,15.0,8.8,44.41579294085015,12,43,16,0,0.0,0.993975903614458,4,human feelings
The end of globalization (and the beginning of something new),TED Main,1960472,2020,21.0,12.9,81.63771909691852,2,40,5,11,0.0134969325153374,2.4722222222222223,4,human feelings
A stellar history of modern astronomy,TEDx,308429,2020,18.0,9.0,68.91695166285174,12,63,18,16,0.017391304347826,1.292857142857143,4,human feelings
How to foster true diversity and inclusion at work (and in your community),TED Institute,1255788,2020,20.0,10.7,65.47364058214742,107,94,93,12,0.0086893555394641,1.014128728414443,4,human feelings
An aerialist on listening to your body's signals,TED Women,1240240,2020,15.0,9.4,96.12939482586476,17,12,29,2,0.0050377833753148,1.111731843575419,4,health
It takes a community to eradicate hate,TED Institute,1235517,2020,17.0,10.5,91.42848644008735,26,44,9,15,0.0227617602427921,1.8867924528301887,4,human feelings
Inside the massive (and unregulated) world of surveillance tech,TED Salon,1342689,2020,21.0,11.7,111.98457891366238,2,60,17,22,0.0322108345534407,2.0036496350364965,4,entertainment
How COVID-19 human challenge trials work -- and why I volunteered,TED Women,1477581,2020,20.0,10.7,115.87922966162708,10,21,7,20,0.0507614213197969,1.5176470588235291,4,posessions
Could we treat spinal cord injuries with asparagus?,TED Main,373191,2020,18.0,11.0,104.7233566371024,12,43,10,9,0.0201342281879194,1.4651162790697674,4,environment
How quinoa can help combat hunger and malnutrition,TED Main,1220135,2020,17.0,10.4,83.02445679901564,11,31,7,13,0.0323383084577114,2.081967213114754,4,environment
A playful exploration of gender performance,TEDx,236766,2020,13.0,10.2,77.5194899560407,66,44,32,17,0.0164728682170542,1.7675840978593271,4,health
What it takes to crush a pandemic,TED Institute,1372452,2020,19.0,12.3,84.03050139417547,9,68,13,21,0.0325077399380804,1.4172661870503598,4,posessions
The mood-boosting power of crying,TED Institute,1296500,2020,16.0,8.1,85.73056008700381,47,33,17,9,0.0132939438700147,1.1515151515151516,4,human feelings
A magical mantra for nurturing a blissful life,TED Women,1325723,2020,19.5,10.0,48.05116925854739,15,11,22,2,0.0076923076923076,1.4473684210526316,4,human feelings
How the new generation of Latinx voters could change US elections,TED Women,1154370,2020,23.0,11.9,76.70565593452451,19,54,37,7,0.0111464968152866,1.4734848484848484,4,human feelings
"To future generations of women, you are the roots of change",TED Women,1389357,2020,28.0,13.4,71.26893674490339,41,55,73,14,0.0178799489144316,1.1879432624113475,4,human feelings
How to be fearless in the face of authoritarianism,TED Women,1378979,2020,13.0,7.8,56.79615016738403,19,12,16,13,0.0377906976744186,1.2547169811320755,4,human feelings
"Theranos, whistleblowing and speaking truth to power",TEDx,1215231,2020,21.0,11.3,57.64943000482171,86,33,65,16,0.0158415841584158,1.1328320802005012,4,gender equity
I stepped out of grief -- by dancing with fire,TED Institute,1384218,2020,20.5,9.3,82.93556448059519,63,58,12,19,0.0242966751918158,1.343839541547278,4,human feelings
The radical act of choosing common ground,TEDx,1314340,2020,12.0,6.7,53.63788126989421,77,70,59,16,0.0167014613778705,1.3333333333333333,4,human feelings
What crows teach us about death,TEDx,1442325,2020,21.0,11.8,97.26022935995836,8,58,11,16,0.0199004975124378,1.5017301038062283,4,human feelings
How to foster productive and responsible debate,TED Institute,1210014,2020,22.0,11.9,99.7449920508744,6,20,14,11,0.0192307692307692,1.8009049773755657,4,entertainment
The power of venom -- and how it could one day save your life,TED Main,235124,2020,15.0,8.3,64.35801748994612,8,46,29,13,0.0233812949640287,1.826086956521739,4,environment
What the Irish wake teaches us about living and dying,TED MED,182031,2020,13.0,6.3,87.55907775634367,16,34,84,12,0.0116618075801749,1.5331010452961673,4,human feelings
Climate change is becoming a problem you can taste,TED Salon,1356899,2020,20.0,10.7,99.0,12,36,3,30,0.0407608695652173,2.333333333333333,4,human feelings
Can we create vaccines that mutate and spread?,TED MED,170826,2020,13.0,7.6,68.48357791754017,21,91,12,31,0.0246227164416203,1.457070707070707,4,posessions
How to reduce the wealth gap between Black and white Americans,TED Institute,1288434,2020,19.0,11.3,59.285885489001394,11,61,40,14,0.0195258019525801,2.15625,4,technology
Why children stay silent following sexual violence,TED Institute,1421273,2020,19.5,7.9,69.74600691475467,73,29,14,12,0.0148514851485148,0.7901234567901234,4,health
What it takes to create social change against all odds,TED MED,162722,2020,19.0,11.8,148.04666282199153,15,61,12,33,0.0280135823429541,2.6904761904761907,4,technology
Could CBD help opioid users overcome addiction?,TED MED,160865,2020,15.0,10.1,105.78133912910852,4,27,10,10,0.0126103404791929,2.095890410958904,4,posessions
"The life unfolding inside your cells, revealed in 3D",TED MED,162042,2020,16.0,9.5,70.82922864798388,5,77,23,24,0.0311284046692607,1.2926829268292683,4,environment
Civilization on the Moon -- and what it means for life on Earth,TED Main,1353468,2020,21.5,11.7,85.67936077683784,3,49,5,15,0.0213371266002844,2.14,4,human feelings
What kids can teach adults about asking for help,TED Institute,1448134,2020,16.0,8.1,76.90096618357488,61,32,18,4,0.0077821011673151,0.9303135888501742,4,human feelings
"An illustrated kingdom of real, fantastical plants",TEDx,222382,2020,20.0,10.1,96.39784089262426,14,35,16,7,0.0131086142322097,1.4339622641509433,4,environment
Racism thrives on silence -- speak up!,TEDx,1480548,2020,11.0,6.2,56.9786198420168,21,48,47,13,0.0111972437553832,1.6338983050847458,4,human feelings
"The neuroscience of psychedelic drugs, music and nostalgia",TED MED,233338,2020,24.0,14.2,71.11369683599239,18,41,15,15,0.0176678445229682,1.9795221843003408,4,human feelings
The lie that invented racism,TEDx,1946983,2020,15.0,9.5,80.76477452696507,48,52,19,17,0.0154405086285195,1.5927051671732524,4,technology
A global movement to solve global problems,TED Main,1381415,2020,17.0,8.7,96.86595466272487,18,79,7,15,0.025,1.2659574468085106,4,entertainment
"The ancient, earth-friendly wisdom of Mongolian nomads",TED Institute,1450115,2020,15.0,8.9,120.87225156746544,57,22,12,14,0.0202898550724637,1.434042553191489,4,health
How humanity can reach the stars,TED Main,295086,2020,20.0,11.7,59.97720125786164,9,46,27,7,0.0136986301369863,1.4009661835748792,4,human feelings
Why we must confront the painful parts of US history,TEDx,1617071,2020,16.0,8.6,59.82371593829991,20,43,7,18,0.0225563909774436,1.6906779661016949,4,health
The psychological traits that shape your political beliefs,TED Main,1645881,2020,25.0,13.7,83.78244392573514,7,19,1,7,0.0128676470588235,1.4345549738219896,4,health
"If you adults won't save the world, we will",TED Main,1474140,2020,15.0,6.8,65.64631326609558,43,36,31,7,0.0135396518375241,1.2556053811659194,4,health
Secrets of the mind and free will -- revealed by magic tricks,TED Main,335665,2020,24.0,11.9,70.24410378663893,15,33,50,25,0.0473484848484848,1.2115384615384617,4,gender equity
What role does luck play in your life?,TED Main,458716,2020,13.0,9.5,54.959669899291306,30,37,19,7,0.0113636363636363,1.1111111111111112,4,health
Why do we blame individuals for economic crises?,TEDx,1459674,2020,18.0,11.5,69.62823796778096,33,42,21,18,0.0213776722090261,1.6487455197132617,4,human feelings
You shouldn't have to choose between filling your prescriptions and paying bills,TED Main,1357875,2020,19.0,11.0,88.53886044730669,9,23,7,19,0.0390143737166324,1.7160493827160497,4,posessions
The psychology of inequality and political division,TEDx,1660497,2020,20.0,11.5,82.23026213327861,20,62,33,17,0.0233196159122085,1.1087719298245613,4,human feelings
"How to win an argument (at the US Supreme Court, or anywhere)",TED Main,1955815,2020,13.0,6.8,70.47521153076451,78,40,63,27,0.0277777777777777,1.4,4,technology
A lesson in turning adversaries into allies,TEDx,1573225,2020,17.0,7.9,79.93757410701052,43,47,7,14,0.017220172201722,1.3576388888888888,4,environment
What it takes to make change,TED Main,1568932,2020,17.0,9.5,89.36034234538525,42,44,25,18,0.0206659012629161,1.2396449704142012,4,health
"Dear Facebook, this is how you're breaking democracy",TED Main,1692086,2020,25.5,13.0,119.0478158402072,41,35,22,4,0.0049382716049382,1.2692307692307692,4,human feelings
4 steps to ending extreme poverty,TED Main,1693077,2020,19.0,11.4,91.66328397499176,0,26,11,17,0.0396270396270396,1.7730496453900708,4,health
How do daily habits lead to political violence?,TEDx,1583567,2020,13.0,8.6,80.5059634342216,36,56,31,13,0.0142387732749178,1.4680851063829787,4,human feelings
Dignity isn't a privilege. It's a worker's right,TED Main,1551505,2020,20.0,10.4,82.07040871965503,24,26,31,10,0.0142857142857142,1.471264367816092,4,technology
Why specializing early doesn't always mean career success,TEDx,2055038,2020,19.5,10.0,100.75240672117326,20,51,20,19,0.0226190476190476,1.6347150259067358,4,human feelings
"Nature, folklore and serendipitous photo collaborations",TED MED,157133,2020,28.0,16.0,99.26332067613914,7,59,9,14,0.0197183098591549,2.183246073298429,4,environment
What Saturn's most mysterious moon could teach us about the origins of life,TED Main,1702422,2020,21.0,13.5,102.12399449844249,0,24,1,3,0.0070422535211267,2.431034482758621,4,environment
How the US medical community fails Black mothers,TED MED,253992,2020,15.0,8.9,75.04450223426855,19,43,5,10,0.0110253583241455,1.8,4,posessions
What it means to be intersex,TEDx,1545184,2020,18.5,9.9,76.81093509151268,28,30,47,9,0.0106635071090047,1.48471615720524,4,health
The tyranny of merit,TED Main,1772518,2020,11.0,8.4,98.88407318536292,4,19,9,4,0.0075901328273244,1.7185185185185186,4,health
How animals and plants are evolving in cities,TEDx,1580355,2020,22.0,10.5,65.35769273067194,20,40,11,6,0.0082530949105914,1.8135593220338984,4,environment
Why we must stop dancing to the sound of our own oppression,TED Main,1667412,2020,25.5,13.3,48.174991370383154,20,21,5,7,0.0192837465564738,1.2684563758389262,4,environment
"Big data, small farms and a tale of two tomatoes",TEDx,1643243,2020,14.0,8.1,74.48164491734292,14,70,48,29,0.0314875135722041,1.5276243093922652,4,environment
How doctors can help fix the broken US asylum system,TED MED,133691,2020,17.5,11.3,77.67342560243662,7,77,9,29,0.029087261785356,1.550408719346049,4,technology
Art in the age of machine intelligence,TED Main,693600,2020,20.0,12.9,110.98203844122528,16,34,8,22,0.0305131761442441,1.854625550660793,4,human feelings
"Can we call it a ""world map"" if it's missing a billion people?",TED Main,1562832,2020,19.0,9.5,99.94358195782168,1,40,13,24,0.0466019417475728,1.4024896265560165,4,technology
What to do when everything feels broken,TED Main,345237,2020,13.0,4.5,65.62549297996529,30,11,27,2,0.0048899755501222,1.13013698630137,4,health
Why rumors about vaccines spread -- and how to rebuild trust,TED MED,303909,2020,13.0,8.8,65.27812101787852,28,73,14,19,0.0199161425576519,1.506896551724138,4,entertainment
What silence can teach you about sound,TED Main,1747826,2020,13.0,7.1,82.78987909996496,4,18,21,15,0.0187032418952618,1.5904255319148937,4,environment
3 questions to ask yourself about US citizenship,TED Main,1500612,2020,19.0,11.1,71.56715267207642,27,27,15,16,0.0303030303030303,1.6850828729281768,4,technology
How to build a resilient future using ancient wisdom,TED Main,359751,2020,25.5,12.1,105.97001806140878,5,24,6,8,0.0156555772994129,1.822085889570552,4,environment
Let's scan the whole planet with LiDAR,TEDx,1571171,2020,15.0,9.9,101.73545405658513,37,49,9,17,0.0213836477987421,1.676,4,environment
Give yourself permission to be creative,TED Main,2880966,2020,9.0,5.9,50.8729688298416,33,33,59,7,0.0125899280575539,0.8292682926829268,4,human feelings
5 needs that any COVID-19 response should meet,TED Main,1566869,2020,17.0,9.8,82.45722160361116,1,33,8,23,0.058080808080808,2.3114754098360657,4,technology
What if you could help decide how the government spends public funds?,TED Main,1568834,2020,13.0,8.5,86.12551296399926,16,40,19,13,0.0207006369426751,1.552511415525114,4,entertainment
Want a more just world? Be an unlikely ally,TEDx,1819306,2020,14.0,9.2,67.48052959501558,21,33,26,2,0.0032520325203252,1.0492610837438423,4,health
The invisible life hidden beneath Antarctica's ice,TED Main,1464787,2020,20.0,12.0,105.10621896078868,11,21,14,7,0.0196629213483146,1.6846153846153846,4,environment
Why violence clusters in cities -- and how to reduce it,TED MED,178995,2020,15.0,8.8,89.07840543136837,5,58,31,30,0.0336700336700336,1.6956521739130437,4,human feelings
What happens when biology becomes technology?,TED Main,1740816,2020,18.0,10.3,74.1812063172043,19,72,13,5,0.0075987841945288,1.5740072202166064,4,human feelings
"A friendly, autonomous robot that delivers your food",TED Main,1717991,2020,14.0,7.2,96.85293113663003,2,43,25,26,0.0489642184557438,1.5320197044334976,4,human feelings
Africa is a sleeping giant -- I'm trying to wake it up,TED Main,1958188,2020,11.0,5.2,67.54373955265461,29,24,26,12,0.0279720279720279,1.4689265536723164,4,human feelings
Scenes from a Black trans life,TEDx,1640411,2020,11.0,6.8,74.2635560304327,21,30,21,9,0.0097932535364526,1.7315175097276263,4,health
Can beauty open our hearts to difficult conversations?,TED Main,237489,2020,19.0,11.1,60.18281365477627,34,30,9,13,0.0159509202453987,1.6227272727272728,4,human feelings
The courage to live with radical uncertainty,TED MED,221942,2020,16.0,8.7,63.42639548835018,84,24,28,12,0.0125918153200419,1.1987577639751552,4,posessions
What foods did your ancestors love?,TEDx,1866770,2020,15.0,8.5,89.97575232062863,20,30,39,3,0.0034090909090909,1.454183266932271,4,health
Stop being a bystander in your own life,TED Main,2162190,2020,14.0,7.2,58.844137125759424,45,63,51,26,0.0385756676557863,1.09375,4,gender equity
"How women will lead us to freedom, justice and peace",TED Women,1743941,2020,15.0,9.6,57.76528324296162,22,23,1,10,0.0117508813160987,1.6615384615384616,4,human feelings
The beauty and complexity of finding common ground,TED Institute,553195,2020,15.0,8.4,79.52125802685347,48,64,35,19,0.0226190476190476,0.9664634146341464,4,human feelings
How Dolly Parton led me to an epiphany,TED Main,1813595,2020,15.0,8.1,76.1583315293721,67,43,51,21,0.0265486725663716,1.3381502890173411,4,human feelings
How to support and celebrate living artists,TED Main,1659608,2020,14.5,6.5,64.53275991772027,29,36,41,25,0.051440329218107,1.145922746781116,4,human feelings
Why is colonialism (still) romanticized?,TEDx,1852553,2020,12.5,8.8,45.45521973442969,41,61,12,3,0.0040650406504065,1.4291497975708505,4,human feelings
The aesthetics of survival,TEDx,97699,2020,17.0,8.2,76.65358884581718,38,27,12,9,0.0120320855614973,1.8526785714285716,4,health
The necessity of normalizing queer love,TEDx,513976,2020,18.0,9.4,53.85071922234084,72,44,49,9,0.0077922077922077,1.2102564102564102,4,human feelings
The myths of gay adoption,TEDx,539486,2020,15.0,6.7,56.59603174603175,17,126,40,22,0.0220883534136546,1.276056338028169,4,health
"Why am I ""so gay?""",TEDx,3424051,2020,15.0,8.8,66.62534114875821,138,83,79,51,0.0376940133037694,1.3739967897271268,4,health
A path to higher education and employment for refugees,TED Main,461329,2020,7.5,9.0,69.0431518436364,25,19,12,7,0.0203488372093023,1.5813953488372092,4,technology
How racial bias works -- and how to disrupt it,TED Main,2302585,2020,15.0,8.2,63.97370233433208,19,57,10,15,0.0175029171528588,1.243421052631579,4,technology
The new science of personalized vaccines,TEDx,349819,2020,15.0,9.8,70.22532737735926,4,44,33,13,0.018465909090909,1.836065573770492,4,posessions
A dose of reality about generic drugs,TED MED,344843,2020,14.0,9.8,133.23634327969586,21,23,4,21,0.021021021021021,1.969811320754717,4,posessions
My secret to staying focused under pressure,TED Main,2458456,2020,12.0,6.7,38.11358583716566,48,16,33,9,0.0242587601078167,1.099526066350711,4,human feelings
3 secrets of resilient people,TEDx,3177561,2020,13.0,7.9,92.25780410853852,39,46,63,14,0.0145077720207253,1.0988700564971752,4,human feelings
How drawing can set you free,TED Main,1960125,2020,15.0,7.2,71.73554686542798,51,13,35,3,0.006423982869379,1.2459893048128343,4,health
What tech companies know about your kids,TEDx,1833464,2020,20.0,10.5,73.8182118574974,9,36,14,17,0.0257186081694402,1.83248730964467,4,technology
How to turn your dissatisfaction into action,TED Women,2011652,2020,19.0,10.5,85.65483206291727,36,52,8,11,0.015256588072122,1.5603448275862069,4,health
How flags unite (and divide) us,TEDx,261793,2020,14.0,7.1,67.14413852701188,20,62,54,16,0.0174291938997821,1.6329113924050631,4,entertainment
The economic benefits of climate action,TED Main,219896,2020,19.0,12.1,72.89750760736793,15,150,53,30,0.0258175559380378,1.3745247148288973,4,environment
5 steps to remove yourself from drama at work,TED Institute,2130133,2020,12.0,5.5,66.7861729769859,35,41,113,10,0.0118203309692671,0.8284960422163589,4,human feelings
How to recognize your white privilege — and use it to fight inequality,TEDx,380798,2020,13.0,7.6,55.83013827781269,114,51,11,13,0.011743450767841,1.473529411764706,4,health
We need to address the real roots of racial violence,TEDx,1273869,2020,21.0,10.3,78.05181639939937,82,61,12,12,0.0101867572156196,1.6746987951807228,4,human feelings
How tech companies can help combat the pandemic and reshape public health,TED Main,277742,2020,28.0,15.2,76.71061812303172,51,128,43,15,0.010252904989747,1.4428341384863124,4,posessions
"The link between climate change, health and poverty",TED MED,243454,2020,16.0,9.7,90.48115173669484,21,43,6,11,0.0150273224043715,1.9192307692307693,4,environment
How to support witnesses of harassment and build healthier workplaces,TEDx,1766579,2020,16.0,9.3,87.35714006206035,22,50,38,23,0.0345345345345345,1.2985074626865671,4,entertainment
The true cost of financial dependence,TEDx,2068327,2020,17.0,11.0,71.78771791028203,35,18,29,14,0.0271317829457364,1.3623188405797102,4,technology
My story of love and loss as a transracial adoptee,TEDx,1902793,2020,19.0,10.7,92.43063806410449,54,32,17,12,0.0154639175257731,1.49402390438247,4,human feelings
Autofocusing reading glasses of the future,TEDx,2055397,2020,16.0,8.1,101.3167040250812,10,42,35,12,0.0291970802919708,1.1497797356828194,4,human feelings
How to raise kids who can overcome anxiety,TED MED,402123,2020,17.0,9.7,83.35867654843832,21,49,36,12,0.0130576713819368,1.3595166163141994,4,human feelings
"A COVID-19 ""exit"" strategy to end lockdown and reopen the economy",TED Main,2023402,2020,18.0,10.9,82.38316409840579,27,45,73,24,0.0252631578947368,1.6095505617977528,4,gender equity
How the US can address the tragedy of veteran suicide,TED Institute,1985858,2020,19.0,10.6,77.25302494888768,25,27,34,11,0.0206378986866791,1.3744075829383886,4,human feelings
How to meaningfully reconnect with those who have dementia,TED MED,266090,2020,15.5,9.4,83.58273253505527,24,37,18,17,0.0193621867881549,1.4545454545454546,4,human feelings
Are we interrupting the kinky sex lives of fish?,TEDx,1866663,2020,16.0,8.5,94.57633968287487,6,53,7,12,0.0161725067385444,1.5810276679841897,4,environment
Can we edit memories?,TEDx,2224294,2020,20.0,11.2,79.27492101105845,12,68,32,11,0.0113871635610766,1.528735632183908,4,human feelings
"To overcome challenges, stop comparing yourself to others",TED Institute,3184475,2020,20.0,8.6,56.86885582197331,121,49,58,17,0.0231607629427792,0.910025706940874,4,gender equity
The language of being human,TED Summit,653908,2020,17.0,7.2,45.984194094360994,61,53,132,18,0.0201117318435754,0.905829596412556,4,human feelings
Restoring human dignity at the US southern border,TED Women,1407962,2020,14.0,6.8,55.47786305728575,47,72,21,9,0.0120481927710843,0.896797153024911,4,human feelings
"An ER doctor on triaging your ""crazy busy"" life",TEDx,2238323,2020,12.0,5.8,74.11682740036875,20,38,83,14,0.0199146514935988,1.0889679715302492,4,human feelings
The US is addicted to incarceration. Here's how to break the cycle,TED Women,1767540,2020,20.0,9.9,63.83449116893438,31,109,107,9,0.0085066162570888,1.194756554307116,4,entertainment
A virus detection network to stop the next pandemic,TED Main,1795363,2020,21.0,10.1,74.9393083939905,8,31,7,10,0.0282485875706214,2.092592592592593,4,entertainment
How American and Chinese values shaped the coronavirus response,TED Main,2116881,2020,18.5,9.6,72.26031960862986,26,34,30,6,0.0085227272727272,1.4052863436123348,4,entertainment
What you need to know about face surveillance,TEDx,2020811,2020,17.0,9.6,82.08808439916179,9,23,31,10,0.0130039011703511,2.047008547008547,4,entertainment
The cost of work stress -- and how to reduce it,TED Institute,2367080,2020,13.0,7.2,93.72061403508772,31,49,41,11,0.0172413793103448,1.244299674267101,4,human feelings
